Index,Question,Geography,Industry,Difficulty,Approach,Correct_Component_1,Correct_Component_2,Correct_Component_3,Correct_Component_4,Correct_Component_5,Red_Herring_1,Red_Herring_2,Red_Herring_3,Red_Herring_4,Red_Herring_5,Explanation_Correct_1,Explanation_Correct_2,Explanation_Correct_3,Explanation_Correct_4,Explanation_Correct_5,Explanation_Red_1,Explanation_Red_2,Explanation_Red_3,Explanation_Red_4,Explanation_Red_5,Word_Math
1,What's the annual revenue of coffee shops in Seattle?,US-City,Food & Beverage,Medium,Bottom-up,Number of people in Seattle,% of people who drink coffee daily,Average coffee purchases per week,% who buy from coffee shops vs home,Average price per coffee purchase,Number of Starbucks locations,Average rent for coffee shop space,% of coffee that is organic,Coffee bean import volume,Average barista salary,This is your starting population base,You need to identify who actually drinks coffee,Daily drinkers buy multiple times per week,Many people make coffee at home instead,This converts your volume into actual revenue,"Too specific to one chain, misses the total market",Operational costs don't affect customer spending,Coffee type is too detailed for market sizing,Supply chain data doesn't tell you consumer demand,Cost structure doesn't drive revenue,"To size this market, take Seattle's population and narrow it down to daily coffee drinkers, then figure out how often they buy commercially versus at home, and multiply by what they spend per purchase"
2,What's the size of the US home security system market?,US-Country,Technology/Security,Medium,Top-down,US households,% of households that own homes,% of homeowners concerned about security,% of security-conscious homeowners who buy systems,Average annual cost per system,Number of burglaries per year,Average home value,Market growth rate,Number of security companies,Average installation time,This is your total addressable market,Renters rarely install security systems,Fear drives the purchase decision,Not everyone concerned actually buys,This converts volume into revenue,Crime stats don't directly drive market size,Home value correlation too indirect,"Growth rate sizes future market, not current","Supply side, not demand measurement","Operational detail, not market driver","To estimate market size, start with all US households, then narrow down to homeowners who are security-conscious and actually purchase systems, then multiply by what they spend annually"
3,What's the annual revenue from ride-sharing in Mexico City?,Mexico-City,Transportation,Medium,Bottom-up,Population of Mexico City,% of population that uses ride-sharing,Average rides per user per month,Average price per ride,-,Number of taxi licenses,Average car ownership rate,% of rides that are shared vs solo,Average driver income,Number of traffic lights,This is your potential customer base,Not everyone uses ride-sharing services,Heavy users drive most of the revenue,This converts trip volume into actual revenue,-,Traditional taxis are a different market segment,Car ownership is too indirect for ride-sharing demand,Trip sharing details are too granular for sizing,Driver earnings don't determine market size,Infrastructure doesn't directly affect ride demand,"To size the ride-sharing market, start with Mexico City's population, identify what portion actually uses these apps, estimate how often they ride per month, and multiply by the average fare"
4,What's the size of the Canadian cannabis market?,Canada-Country,Cannabis/Retail,Medium,Bottom-up,Canadian adult population,% of adults who have tried cannabis,% of users who consume regularly,Average spending per regular user per month,-,Number of dispensaries,% of cannabis that is medical vs recreational,Average THC content,Number of cannabis licenses issued,Average growing season length,Only adults can legally purchase cannabis,Many tried it but don't buy regularly,Regular users drive most market revenue,This converts user base into actual spending,-,Store count doesn't determine consumer demand,User type segmentation is too detailed,Product strength doesn't affect market size,Regulatory details don't measure actual demand,Agricultural factors don't drive consumer spending,"To estimate Canada's cannabis market, start with adults who've tried it, narrow down to regular consumers who actually purchase monthly, then multiply by their average spending"
5,What's the annual revenue of fitness studios in Los Angeles?,US-City,Fitness/Wellness,Medium,Bottom-up,Population of Los Angeles,% of people who exercise regularly,% of exercisers who prefer studios over gyms,Average monthly studio membership cost,Average months of membership per year,Number of personal trainers,Average studio square footage,% of workouts that are group vs individual,Average class duration,Equipment replacement cost,This is your potential customer base,Not everyone exercises regularly,Studios compete with gyms and home workouts,This is your monthly revenue per customer,People often pause memberships or switch studios,Trainers work at studios but don't determine market size,Facility size doesn't drive customer demand,Class format is too detailed for market sizing,Session length doesn't affect total spending,Operational costs don't determine revenue,"To size LA's fitness studio market, start with people who exercise regularly, identify what portion chooses studios over alternatives, then multiply by membership costs and account for seasonal patterns"
6,What's the size of the UK food delivery market?,UK-Country,Food & Beverage,Medium,Bottom-up,UK population,% of population that orders food delivery,Average delivery orders per person per month,Average delivery order value,-,Number of restaurants,Average delivery time,% of orders that are organic food,Number of delivery drivers,Average fuel cost per delivery,This is your potential customer base,Not everyone uses food delivery services,Heavy users drive most of the revenue,This converts order volume into revenue,-,Restaurant count doesn't determine delivery demand,Speed doesn't affect market size calculation,Food type segmentation is too granular,"Driver count is supply-side, not demand",Operational costs don't determine market revenue,"To size UK food delivery, start with people who actually use delivery services, estimate how often they order per month, then multiply by what they spend per order"
7,What's the annual revenue of pet grooming services in Toronto?,Canada-City,Pet Services,Medium,Bottom-up,Number of households in Toronto,% of households that own pets,% of pet owners who use professional grooming,Average annual spending per pet on grooming,-,Number of veterinarians,Average pet lifespan,% of pets that are dogs vs cats,Average grooming session duration,Number of pet stores,This is your starting customer base,Not all households have pets,Many pet owners groom at home or skip it,This converts your customer base into revenue,-,Vets provide different services than grooming,Pet lifespan doesn't affect annual spending patterns,Pet type breakdown is too detailed for sizing,Session length doesn't determine total market size,Retail stores serve different needs than grooming,"To estimate Toronto's pet grooming market, start with households that own pets, identify which ones pay for professional grooming rather than doing it themselves, then multiply by annual spending per pet"
8,What's the size of the German electric vehicle market?,Germany-Country,Automotive,Hard,Bottom-up,German population,% of population that drives,% of drivers who replace their car annually,% of car replacements who consider EVs,% of EV considerers who actually purchase,Average EV price,Number of charging stations,Average German household income,% of EVs that are Tesla vs other brands,Average battery range,Government EV incentive amount,This is your starting population base,Not everyone drives or owns a car,Car replacement drives new vehicle demand,Not everyone is open to electric vehicles yet,Consideration doesn't always lead to purchase,This converts unit sales into revenue,Infrastructure doesn't directly drive current sales,Income correlation is too indirect for sizing,Brand breakdown is too granular,Technical specs don't determine market size
9,What's the annual revenue of streaming services in Brazil?,Brazil-Country,Entertainment/Media,Medium,Bottom-up,Brazilian population,% with reliable internet access,% of internet users who pay for streaming,Average monthly subscription cost,Average number of subscriptions per user,Number of movie theaters,Average smartphone penetration,% of content that is local vs international,Average data usage per user,Number of content creators,This is your potential customer base,Streaming requires good internet infrastructure,Not everyone with internet pays for streaming,This is your revenue per subscriber per month,Many users subscribe to multiple services,Theaters are a different entertainment category,Internet access is already captured above,Content mix doesn't affect total market size,Data usage doesn't determine subscription revenue,Creator count doesn't drive consumer spending,"To size Brazil's streaming market, start with people who have reliable internet, identify what portion actually pays for streaming subscriptions, then multiply by subscription costs and account for multiple subscriptions per user"
10,What's the size of the Japanese convenience store market?,Japan-Country,Retail,Medium,Bottom-up,Japanese population,% of population that shops at convenience stores,Average convenience store visits per person per week,Average spending per visit,-,Average store operating hours,% of sales that are food vs non-food,Average transaction value,Number of store employees,Average store rent,This is your potential customer base,Not everyone uses convenience stores regularly,Frequent visitors drive most of the revenue,This converts visit volume into actual spending,-,Operating hours don't determine total market size,Product mix is too detailed for market sizing,This is the same as spending per visit,Staffing levels don't drive revenue,"Rent is a cost, not a revenue driver","To estimate Japan's convenience store market, start with people who actually shop at convenience stores, estimate how often they visit per week, then multiply by average spending per visit"
11,What's the annual revenue of hair salons in Chicago?,US-City,Personal Services,Easy,Bottom-up,Population of Chicago,% of population that gets haircuts professionally,Average haircuts per person per year,Average price per haircut,-,Number of hair stylists,Average salon square footage,% of haircuts that include color treatment,Average appointment duration,Cost of salon equipment,This is your potential customer base,Not everyone goes to salons vs cutting at home,Frequency varies widely by gender and preference,This converts service volume into revenue,-,"Stylist count is supply-side, not demand",Facility size doesn't drive customer volume,Service add-ons are too granular for market sizing,Time per service doesn't affect total market,Equipment costs don't determine revenue,"To size Chicago's hair salon market, start with people who get professional haircuts rather than doing it themselves, estimate how often they go per year, then multiply by what they pay per visit"
